"data","receita","mkt","fcl_binario"
"30/03/01",17057,-6653,"0"
"30/06/01",18359,-4090,"0"
"30/09/01",18878,-3444,"0"
"30/12/01",21618,-6844,"1"
"31/03/02",30527,-7938,"1"
"30/06/02",36360,-8054,"1"
"30/09/02",40731,-9299,"1"
"31/12/02",45188,-10492,"1"
"31/03/03",55669,-13207,"1"
"30/06/03",63187,-9957,"1"
"30/09/03",72202,-12183,"1"
"31/12/03",81185,-14602,"1"
"31/03/04",100370,-26693,"1"
"30/06/04",120321,-20477,"1"
"30/09/04",141644,-22525,"1"
"31/12/04",143893,-28332,"1"
"31/03/05",154140,-35803,"0"
"30/06/05",164497,-26338,"1"
"30/09/05",174317,-32867,"1"
"31/12/05",195040,-46989,"1"
"31/03/06",224126,-52968,"1"
"30/06/06",239351,-47031,"1"
"30/09/06",255950,-59367,"1"
"31/12/06",277233,-66158,"1"
"31/03/07",305320,-72138,"0"
"30/06/07",303693,-45255,"1"
"30/09/07",293972,-49166,"1"
"31/12/07",302355,-51704,"1"
"31/03/08",326183,-54895,"1"
"30/06/08",337614,-39984,"1"
"30/09/08",341269,-49217,"1"
"31/12/08",359595,-55617,"1"
"31/03/09",394098,-62242,"1"
"30/06/09",408509,-46231,"1"
"30/09/09",423120,-58556,"1"
"31/12/09",444542,-70715,"1"
"31/03/10",493665,-75219,"1"
"30/06/10",519819,-74533,"1"
"30/09/10",553219,-81238,"1"
"31/12/10",595922,-62849,"1"
"31/03/11",718553,-99595,"1"
"30/06/11",788610,-90606,"1"
"30/09/11",821839,-83421,"1"
"31/12/11",875575,-107647,"1"
"31/03/12",869791,-129928,"1"
"30/06/12",889163,-113964,"1"
"30/09/12",905089,-108448,"0"
"31/12/12",945239,-113060,"0"
"31/03/13",1023961,-129175,"0"
"30/06/13",1069372,-121760,"1"
"30/09/13",1105999,-116109,"1"
"31/12/13",1175230,-136845,"1"
"31/03/14",1270089,-137098,"1"
"30/06/14",1340407,-120763,"1"
"30/09/14",1409432,-145654,"0"
"31/12/14",1484728,-203671,"0"
"31/03/15",1573129,-194677,"0"
"30/06/15",1644694,-197140,"0"
"30/09/15",1738355,-208102,"0"
"31/12/15",1823333,-224173,"0"
"31/03/16",1957736,-208010,"0"
"30/06/16",2105204,-216029,"0"
"30/09/16",2290188,-282043,"0"
"31/12/16",2477541,-284996,"0"
"31/03/17",2636635,-306148,"0"
"30/06/17",2785464,-311160,"0"
"30/09/17",2984859,-352446,"0"
"31/12/17",3285755,-466527,"0"
"31/03/18",3700856,-536777,"0"
"30/06/18",3907270,-592007,"0"
"30/09/18",3999374,-510330,"0"
"31/12/18",4186841,-730355,"0"
"31/03/19",4520992,-616578,"0"
"30/06/19",4923116,-603150,"0"
"30/09/19",5244905,-553797,"0"
"31/12/19",5467434,-878937,"0"
"31/03/20",5767691,-503830,"1"
"30/06/20",6148286,-434370,"1"
"30/09/20",6435637,-527597,"1"
"31/12/20",6644442,-762565,"0"
"31/03/21",7163282,-512512,"1"
"30/06/21",7341777,-603973,"0"
"30/09/21",7483467,-635948,"0"
"31/12/21",7709318,-792713,"0"
"31/03/22",7867767,-555978,"1"
"30/06/22",7970141,-574960,"1"
"30/09/22",7925589,-567954,"1"
"31/12/22",7852053,-831610,"1"
"31/03/23",8161503,-555362,"1"
"30/06/23",8187301,-627168,"1"
